"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","76.50","71.50","77.70","71.50","3.71M","7.14%"
"08/28/2025","71.40","69.00","72.10","69.00","2.70M","3.33%"
"08/27/2025","69.10","68.60","69.30","68.40","993.29K","0.29%"
"08/26/2025","68.90","69.00","69.50","68.60","1.44M","0.15%"
"08/25/2025","68.80","67.40","69.40","67.10","1.69M","2.53%"
"08/24/2025","67.10","67.30","67.80","66.80","1.34M","-0.59%"
"08/21/2025","67.50","68.00","68.00","67.00","794.23K","-0.59%"
"08/20/2025","67.90","66.60","68.50","66.30","1.37M","1.95%"
"08/19/2025","66.60","68.00","68.40","65.10","1.74M","-2.06%"
"08/18/2025","68.00","69.40","69.70","67.90","1.03M","-1.45%"
"08/17/2025","69.00","69.00","69.80","67.80","945.30K","0.44%"
"08/14/2025","68.70","69.60","69.60","68.20","1.40M","0.29%"
"08/13/2025","68.50","69.00","70.10","68.00","2.89M","-0.44%"
"08/12/2025","68.80","68.80","71.20","68.00","2.41M","0.73%"
"08/11/2025","68.30","67.90","69.00","66.50","1.15M","1.94%"
"08/10/2025","67.00","68.50","68.50","66.70","1.42M","-1.76%"
"08/07/2025","68.20","69.80","69.80","67.90","1.89M","-1.30%"
"08/06/2025","69.10","69.90","70.30","67.80","4.82M","-1.14%"
"08/04/2025","69.90","70.00","71.60","69.40","2.42M","0.00%"
"08/03/2025","69.90","70.00","71.80","69.00","2.23M","-1.13%"
"07/31/2025","70.70","70.00","73.80","69.60","5.62M","1.29%"
"07/30/2025","69.80","67.70","70.20","67.00","5.00M","3.25%"
"07/29/2025","67.60","69.20","69.80","67.50","3.51M","-2.03%"
"07/28/2025","69.00","67.20","70.00","66.60","4.44M","2.68%"
"07/27/2025","67.20","69.00","70.00","66.90","2.82M","-2.33%"
"07/24/2025","68.80","65.00","71.30","65.00","4.47M","6.01%"
"07/23/2025","64.90","63.50","65.80","63.10","5.21M","2.85%"
"07/22/2025","63.10","63.70","63.70","61.90","2.41M","-0.94%"
"07/21/2025","63.70","64.00","65.40","63.00","3.81M","-0.16%"
"07/20/2025","63.80","63.00","64.60","61.60","3.25M","1.75%"
"07/17/2025","62.70","60.00","63.20","60.00","7.40M","4.67%"
"07/16/2025","59.90","57.00","60.20","56.20","3.80M","4.17%"
"07/15/2025","57.50","57.50","58.00","57.30","1.84M","0.17%"
"07/14/2025","57.40","57.60","58.10","56.80","2.48M","-0.35%"
"07/13/2025","57.60","59.00","59.20","57.00","1.61M","-1.87%"
"07/10/2025","58.70","56.40","59.30","56.40","3.65M","4.08%"
"07/09/2025","56.40","56.00","56.70","55.70","3.46M","0.71%"
"07/08/2025","56.00","56.00","56.40","55.20","2.54M","0.00%"
"07/07/2025","56.00","54.00","56.50","54.00","6.81M","4.09%"
"07/03/2025","53.80","51.20","54.00","51.20","4.72M","5.08%"
"07/02/2025","51.20","50.50","51.30","50.40","2.85M","0.99%"
"06/30/2025","50.70","50.60","51.30","49.90","3.10M","0.80%"
"06/29/2025","50.30","51.10","52.10","49.80","7.26M","-1.57%"
"06/26/2025","51.10","49.90","51.40","49.90","3.37M","2.40%"
"06/25/2025","49.90","49.60","50.10","49.60","3.38M","0.60%"
"06/24/2025","49.60","50.20","50.40","49.50","1.40M","-1.00%"
"06/23/2025","50.10","49.80","50.40","49.80","1.66M","0.00%"
"06/22/2025","50.10","50.00","50.50","49.00","1.70M","-0.20%"
"06/19/2025","50.20","49.20","50.70","49.20","2.34M","1.01%"
"06/18/2025","49.70","49.20","49.80","49.00","1.91M","0.20%"
"06/17/2025","49.60","50.00","50.20","49.20","1.53M","-0.80%"
"06/16/2025","50.00","50.40","50.50","49.80","3.98M","-0.40%"
"06/15/2025","50.20","48.70","50.50","48.70","3.05M","2.45%"
"06/04/2025","49.00","48.20","49.20","48.20","4.56M","1.45%"
"06/03/2025","48.30","47.20","48.50","47.20","3.77M","0.84%"
"06/02/2025","47.90","47.00","48.40","47.00","6.49M","1.91%"
"06/01/2025","47.00","46.00","47.20","45.80","1.26M","2.17%"
