"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","25.40","25.30","25.80","25.20","10.14M","0.40%"
"08/28/2025","25.30","24.80","25.40","24.80","8.78M","2.02%"
"08/27/2025","24.80","25.00","25.00","24.40","9.08M","-0.80%"
"08/26/2025","25.00","25.10","25.70","24.80","16.65M","0.00%"
"08/25/2025","25.00","24.30","25.20","24.30","15.83M","3.31%"
"08/24/2025","24.20","23.80","24.50","23.70","7.67M","1.68%"
"08/21/2025","23.80","23.60","23.90","23.40","3.43M","0.85%"
"08/20/2025","23.60","24.20","24.40","23.50","9.57M","-2.48%"
"08/19/2025","24.20","24.60","24.60","24.20","7.74M","-1.63%"
"08/18/2025","24.60","25.10","25.50","24.50","11.66M","-1.60%"
"08/17/2025","25.00","23.70","25.10","23.70","14.80M","5.93%"
"08/14/2025","23.60","23.20","23.80","23.00","14.83M","2.16%"
"08/13/2025","23.10","23.50","23.50","23.00","5.58M","-1.28%"
"08/12/2025","23.40","23.10","24.00","23.10","4.77M","-0.85%"
"08/11/2025","23.60","23.70","24.10","23.50","4.58M","-0.42%"
"08/10/2025","23.70","23.90","24.00","23.40","6.64M","-0.84%"
"08/07/2025","23.90","24.80","24.80","23.50","8.75M","-3.24%"
"08/06/2025","24.70","25.50","25.70","23.90","18.24M","-2.76%"
"08/04/2025","25.40","25.60","25.80","25.20","11.70M","-0.39%"
"08/03/2025","25.50","26.90","26.90","25.40","14.17M","-1.16%"
"07/31/2025","25.80","25.30","26.30","25.20","19.90M","2.38%"
"07/30/2025","25.20","25.20","25.40","24.80","13.90M","0.40%"
"07/29/2025","25.10","24.60","25.90","24.60","22.12M","2.45%"
"07/28/2025","24.50","24.00","25.10","23.80","19.48M","3.38%"
"07/27/2025","23.70","24.00","24.50","23.40","13.02M","0.00%"
"07/24/2025","23.70","23.10","24.20","22.70","15.50M","2.16%"
"07/23/2025","23.20","22.70","23.70","22.60","14.91M","3.11%"
"07/22/2025","22.50","21.80","22.80","21.60","9.32M","3.69%"
"07/21/2025","21.70","21.40","22.40","21.20","7.70M","1.40%"
"07/20/2025","21.40","21.30","21.40","21.20","3.04M","0.47%"
"07/17/2025","21.30","21.40","21.50","21.20","3.35M","-0.47%"
"07/16/2025","21.40","21.10","21.50","21.10","1.88M","1.42%"
"07/15/2025","21.10","21.30","21.40","21.10","1.89M","-0.94%"
"07/14/2025","21.30","21.40","21.50","21.20","2.72M","-0.93%"
"07/13/2025","21.50","21.20","21.70","21.10","6.76M","1.42%"
"07/10/2025","21.20","21.20","21.50","21.10","2.34M","0.00%"
"07/09/2025","21.20","21.00","21.30","20.90","2.70M","0.95%"
"07/08/2025","21.00","21.30","21.40","20.80","4.98M","-1.41%"
"07/07/2025","21.30","20.20","21.50","20.20","7.29M","5.45%"
"07/03/2025","20.20","19.60","20.30","19.60","3.57M","3.06%"
"07/02/2025","19.60","19.70","19.80","19.60","1.60M","-0.51%"
"06/30/2025","19.70","19.70","19.80","19.60","790.34K","0.00%"
"06/29/2025","19.70","19.70","19.80","19.60","1.82M","0.00%"
"06/26/2025","19.70","19.80","19.80","19.60","3.69M","0.00%"
"06/25/2025","19.70","19.50","19.80","19.50","2.71M","1.03%"
"06/24/2025","19.50","19.40","19.60","19.40","2.58M","0.52%"
"06/23/2025","19.40","19.40","19.50","19.30","1.93M","-0.51%"
"06/22/2025","19.50","19.50","19.50","19.20","2.13M","0.00%"
"06/19/2025","19.50","19.60","19.60","19.40","1.53M","-0.51%"
"06/18/2025","19.60","19.60","19.60","19.40","1.35M","0.51%"
"06/17/2025","19.50","19.40","19.70","19.40","2.52M","0.52%"
"06/16/2025","19.40","19.30","19.50","19.30","1.34M","0.52%"
"06/15/2025","19.30","18.80","19.40","18.80","1.44M","1.58%"
"06/04/2025","19.00","18.80","19.10","18.80","1.66M","0.53%"
"06/03/2025","18.90","18.80","19.20","18.80","1.86M","-0.53%"
"06/02/2025","19.00","18.60","19.10","18.40","2.83M","3.83%"
"06/01/2025","18.30","18.00","18.50","18.00","1.99M","1.67%"
"05/29/2025","18.00","18.10","18.50","17.90","1.92M","-1.64%"
"05/28/2025","18.30","18.50","18.60","18.20","558.21K","-1.08%"
"05/27/2025","18.50","18.80","18.80","18.40","1.26M","-0.54%"
"05/26/2025","18.60","18.90","18.90","18.60","1.45M","-1.59%"
"05/25/2025","18.90","19.00","19.10","18.80","1.70M","-0.53%"
"05/24/2025","19.00","20.00","20.00","18.90","2.94M","-6.25%"
"05/21/2025","20.27","20.44","20.53","20.18","4.28M","-0.87%"
"05/20/2025","20.44","20.44","20.53","20.36","3.17M","0.00%"
"05/19/2025","20.44","20.44","20.53","20.36","4.09M","0.00%"
"05/18/2025","20.44","20.44","20.44","20.36","6.81M","-10.72%"
"05/15/2025","22.90","23.00","23.00","22.80","2.07M","0.00%"
"05/14/2025","22.90","22.70","22.90","22.70","3.18M","0.88%"
"05/13/2025","22.70","22.90","22.90","22.70","4.33M","-1.30%"
"05/12/2025","23.00","23.00","23.10","22.90","3.13M","0.00%"
"05/08/2025","23.00","22.80","23.00","22.80","4.00M","0.88%"
"05/07/2025","22.80","23.00","23.00","22.70","2.29M","-0.87%"
"05/06/2025","23.00","22.90","23.00","22.80","8.50M","0.44%"
"05/05/2025","22.90","22.90","23.00","22.80","4.91M","-0.43%"
"05/04/2025","23.00","23.00","23.00","22.80","7.41M","0.00%"
"04/30/2025","23.00","23.00","23.00","22.70","8.25M","1.77%"
"04/29/2025","22.60","22.80","22.80","22.50","835.79K","-1.31%"
"04/28/2025","22.90","23.00","23.00","22.60","1.25M","-0.43%"
"04/27/2025","23.00","22.50","23.00","22.50","2.07M","2.22%"
"04/24/2025","22.50","22.20","22.60","22.20","826.86K","0.45%"
"04/23/2025","22.40","22.00","22.60","22.00","741.21K","0.90%"
"04/22/2025","22.20","22.60","22.60","21.80","956.58K","-1.77%"
"04/21/2025","22.60","22.60","22.60","22.50","832.80K","0.00%"
"04/20/2025","22.60","22.60","22.70","22.50","214.22K","0.00%"
"04/17/2025","22.60","22.60","22.70","22.50","420.75K","0.00%"
"04/16/2025","22.60","22.60","22.70","22.50","294.44K","0.00%"
"04/15/2025","22.60","22.60","22.70","22.50","356.11K","0.00%"
"04/13/2025","22.60","22.80","22.80","22.60","714.62K","-0.44%"
"04/10/2025","22.70","22.80","22.80","22.70","481.15K","0.00%"
"04/09/2025","22.70","23.00","23.00","22.70","1.29M","-0.87%"
"04/08/2025","22.90","23.00","23.00","22.80","550.87K","-0.43%"
"04/07/2025","23.00","23.00","23.00","22.90","978.00K","0.00%"
"04/06/2025","23.00","22.80","23.20","22.80","1.53M","0.00%"
"03/27/2025","23.00","23.00","23.10","22.90","1.24M","0.44%"
"03/25/2025","22.90","22.50","23.00","22.50","855.65K","1.78%"
"03/24/2025","22.50","22.60","22.80","22.40","1.46M","-0.44%"
"03/23/2025","22.60","22.70","22.80","22.60","880.14K","-0.44%"
"03/20/2025","22.70","22.90","22.90","22.70","714.11K","-0.44%"
"03/19/2025","22.80","22.80","22.80","22.70","535.03K","0.44%"
"03/18/2025","22.70","22.90","22.90","22.60","1.98M","-0.87%"
"03/17/2025","22.90","23.00","23.00","22.80","851.66K","0.00%"
"03/16/2025","22.90","22.90","23.00","22.90","765.96K","0.00%"
"03/13/2025","22.90","23.00","23.10","22.90","1.13M","-0.43%"
"03/12/2025","23.00","22.80","23.00","22.80","723.00K","0.88%"
"03/11/2025","22.80","22.80","22.90","22.70","781.98K","0.00%"
"03/10/2025","22.80","22.70","22.90","22.70","371.49K","0.88%"
"03/09/2025","22.60","22.70","22.80","22.60","784.21K","-0.44%"
"03/06/2025","22.70","22.80","22.90","22.70","496.50K","0.00%"
"03/05/2025","22.70","22.70","22.90","22.70","713.39K","0.00%"
"03/04/2025","22.70","22.70","22.80","22.60","737.19K","0.44%"
"03/03/2025","22.60","22.80","22.80","22.50","932.33K","-0.44%"
"03/02/2025","22.70","22.90","23.10","22.60","843.50K","-0.87%"
"02/27/2025","22.90","23.00","23.10","22.90","1.27M","-0.43%"
"02/26/2025","23.00","23.10","23.30","23.00","408.27K","-0.43%"
"02/25/2025","23.10","23.00","23.50","22.80","3.09M","0.43%"
"02/24/2025","23.00","23.00","23.10","22.90","1.15M","0.00%"
"02/23/2025","23.00","23.10","23.20","22.90","3.27M","-0.86%"
"02/20/2025","23.20","23.10","23.20","23.00","2.71M","0.43%"
"02/19/2025","23.10","23.20","23.20","23.00","2.09M","0.00%"
"02/18/2025","23.10","23.00","23.10","22.80","3.25M","0.87%"
"02/17/2025","22.90","22.80","23.00","22.80","1.87M","0.44%"
"02/16/2025","22.80","22.80","22.90","22.70","1.73M","0.00%"
"02/13/2025","22.80","22.80","22.90","22.70","1.39M","0.00%"
"02/12/2025","22.80","22.80","22.90","22.70","2.53M","0.44%"
"02/11/2025","22.70","22.70","22.90","22.60","4.09M","0.00%"
"02/10/2025","22.70","22.80","22.90","22.70","2.29M","-0.44%"
"02/09/2025","22.80","23.00","23.00","22.70","2.81M","-0.44%"
"02/06/2025","22.90","23.00","23.10","22.80","2.39M","0.00%"
"02/05/2025","22.90","22.80","23.00","22.80","3.04M","0.00%"
"02/04/2025","22.90","23.00","23.00","22.80","2.68M","0.44%"
"02/03/2025","22.80","23.20","23.30","22.70","5.61M","-1.30%"
"02/02/2025","23.10","22.90","23.20","22.80","4.76M","0.87%"
"01/30/2025","22.90","22.90","23.10","22.80","2.10M","0.00%"
"01/29/2025","22.90","22.90","23.00","22.70","1.41M","0.44%"
"01/28/2025","22.80","22.70","23.00","22.60","1.88M","0.44%"
"01/27/2025","22.70","22.70","22.80","22.60","1.02M","0.00%"
"01/26/2025","22.70","22.70","22.80","22.50","819.21K","0.00%"
"01/23/2025","22.70","22.60","22.80","22.60","1.09M","0.44%"
"01/22/2025","22.60","22.60","22.70","22.50","734.69K","0.00%"
"01/21/2025","22.60","22.70","22.70","22.50","2.14M","0.00%"
"01/20/2025","22.60","22.60","22.70","22.50","604.85K","0.00%"
"01/19/2025","22.60","22.40","22.70","22.30","929.90K","0.89%"
"01/16/2025","22.40","22.30","22.60","22.30","620.59K","0.00%"
"01/15/2025","22.40","22.50","22.50","22.30","937.82K","-0.44%"
"01/14/2025","22.50","22.60","22.70","22.40","736.99K","-0.44%"
"01/13/2025","22.60","22.40","22.70","22.30","944.15K","0.89%"
"01/12/2025","22.40","22.70","22.70","22.30","1.15M","-0.88%"
"01/09/2025","22.60","22.70","22.70","22.50","789.05K","-0.44%"
"01/08/2025","22.70","22.80","22.80","22.60","1.09M","0.00%"
"01/07/2025","22.70","22.80","23.00","22.60","1.75M","-0.44%"
"01/06/2025","22.80","22.80","22.90","22.60","2.25M","0.00%"
"01/05/2025","22.80","23.10","23.40","22.60","2.14M","-0.87%"
"01/02/2025","23.00","22.90","23.10","22.60","4.79M","1.32%"
"01/01/2025","22.70","22.40","23.00","22.40","4.25M","1.34%"
"12/30/2024","22.40","22.10","22.50","22.00","4.16M","1.36%"
"12/29/2024","22.10","21.90","22.30","21.80","3.54M","1.38%"
"12/26/2024","21.80","22.10","22.10","21.70","496.32K","-0.46%"
"12/24/2024","21.90","21.80","21.90","21.70","317.49K","0.46%"
"12/23/2024","21.80","21.90","22.00","21.70","456.98K","-0.46%"
"12/22/2024","21.90","22.00","22.00","21.80","575.45K","-0.45%"
"12/19/2024","22.00","22.00","22.10","21.80","586.51K","0.46%"
"12/18/2024","21.90","22.00","22.00","21.80","575.42K","0.00%"
"12/17/2024","21.90","21.90","22.00","21.80","686.57K","0.00%"
"12/15/2024","21.90","21.50","22.00","21.50","480.01K","1.86%"
"12/12/2024","21.50","21.60","21.80","21.40","525.07K","-0.46%"
"12/11/2024","21.60","21.90","21.90","21.60","336.20K","0.00%"
"12/10/2024","21.60","21.90","22.10","21.50","747.73K","-1.37%"
"12/09/2024","21.90","21.90","22.00","21.80","682.47K","0.92%"
"12/08/2024","21.70","21.90","21.90","21.60","355.09K","-0.91%"
"12/05/2024","21.90","21.90","22.10","21.70","1.13M","-0.45%"
"12/04/2024","22.00","21.90","22.30","21.90","1.09M","0.46%"
"12/03/2024","21.90","21.80","22.00","21.60","764.63K","0.46%"
"12/02/2024","21.80","21.60","21.90","21.60","1.04M","0.46%"
"12/01/2024","21.70","21.70","21.90","21.60","251.26K","-0.46%"
"11/28/2024","21.80","21.70","22.00","21.70","827.93K","0.93%"
"11/27/2024","21.60","21.40","21.70","21.40","1.18M","0.93%"
"11/26/2024","21.40","21.50","21.60","21.30","310.50K","-0.47%"
"11/25/2024","21.50","21.50","21.60","21.40","606.25K","0.47%"
"11/24/2024","21.40","21.60","21.70","21.40","779.78K","-0.47%"
"11/21/2024","21.50","21.80","21.80","21.50","476.55K","-0.92%"
"11/20/2024","21.70","21.80","21.80","21.60","457.63K","-0.46%"
"11/19/2024","21.80","21.70","21.90","21.60","914.31K","0.46%"
"11/18/2024","21.70","21.80","21.90","21.60","631.63K","-0.46%"
"11/17/2024","21.80","22.10","22.10","21.70","989.72K","-0.46%"
"11/14/2024","21.90","21.60","22.20","21.60","1.64M","1.86%"
"11/13/2024","21.50","21.70","21.70","21.40","550.42K","-0.46%"
"11/12/2024","21.60","21.90","22.10","21.50","756.59K","-1.37%"
"11/11/2024","21.90","21.60","22.10","21.40","809.86K","1.86%"
"11/10/2024","21.50","21.80","21.80","21.50","432.37K","-1.38%"
"11/07/2024","21.80","22.00","22.30","21.60","979.24K","-1.80%"
"11/06/2024","22.20","22.50","22.50","22.10","1.59M","-0.45%"
"11/05/2024","22.30","21.70","22.40","21.70","1.64M","2.76%"
"11/04/2024","21.70","21.50","21.80","21.20","939.04K","0.00%"
"11/03/2024","21.70","22.00","22.20","21.60","734.84K","-1.36%"
"10/31/2024","22.00","21.80","22.30","21.50","2.29M","1.85%"
"10/30/2024","21.60","21.10","21.90","20.90","975.35K","3.85%"
"10/29/2024","20.80","21.00","21.00","20.40","1.30M","1.46%"
"10/28/2024","20.50","20.60","20.70","20.30","604.17K","-0.49%"
"10/27/2024","20.60","21.00","21.10","20.50","1.08M","-1.90%"
"10/24/2024","21.00","21.20","21.30","20.90","984.87K","-0.47%"
"10/23/2024","21.10","21.40","21.50","21.00","628.73K","-1.40%"
"10/22/2024","21.40","21.40","21.50","21.20","539.46K","0.94%"
"10/21/2024","21.20","21.30","21.60","21.10","1.16M","-0.47%"
"10/20/2024","21.30","21.60","21.80","21.10","613.50K","-1.84%"
"10/17/2024","21.70","21.90","22.10","21.60","775.65K","-0.91%"
"10/16/2024","21.90","22.30","22.30","21.80","1.21M","-0.90%"
"10/15/2024","22.10","22.00","22.30","21.80","1.32M","0.45%"
"10/14/2024","22.00","22.60","22.60","21.90","1.18M","-2.22%"
"10/09/2024","22.50","21.60","22.80","21.60","1.17M","4.17%"
"10/08/2024","21.60","21.60","22.00","21.50","931.52K","0.47%"
"10/07/2024","21.50","21.60","21.90","21.50","739.20K","-0.46%"
"10/06/2024","21.60","21.80","22.10","21.50","1.25M","-0.92%"
"10/03/2024","21.80","22.00","22.30","21.70","1.45M","-0.91%"
