Ticker,Date,Price,Open,High,Low,Vol.,Change %
Brac,8/31/2025,76.5,71.5,77.7,71.5,3.71M,7.14%
Brac,8/28/2025,71.4,69,72.1,69,2.70M,3.33%
Brac,8/27/2025,69.1,68.6,69.3,68.4,993.29K,0.29%
Brac,8/26/2025,68.9,69,69.5,68.6,1.44M,0.15%
Brac,8/25/2025,68.8,67.4,69.4,67.1,1.69M,2.53%
Brac,8/24/2025,67.1,67.3,67.8,66.8,1.34M,-0.59%
Brac,8/21/2025,67.5,68,68,67,794.23K,-0.59%
Brac,8/20/2025,67.9,66.6,68.5,66.3,1.37M,1.95%
Brac,8/19/2025,66.6,68,68.4,65.1,1.74M,-2.06%
Brac,8/18/2025,68,69.4,69.7,67.9,1.03M,-1.45%
Brac,8/17/2025,69,69,69.8,67.8,945.30K,0.44%
Brac,8/14/2025,68.7,69.6,69.6,68.2,1.40M,0.29%
Brac,8/13/2025,68.5,69,70.1,68,2.89M,-0.44%
Brac,8/12/2025,68.8,68.8,71.2,68,2.41M,0.73%
Brac,8/11/2025,68.3,67.9,69,66.5,1.15M,1.94%
Brac,8/10/2025,67,68.5,68.5,66.7,1.42M,-1.76%
Brac,8/7/2025,68.2,69.8,69.8,67.9,1.89M,-1.30%
Brac,8/6/2025,69.1,69.9,70.3,67.8,4.82M,-1.14%
Brac,8/4/2025,69.9,70,71.6,69.4,2.42M,0.00%
Brac,8/3/2025,69.9,70,71.8,69,2.23M,-1.13%
Brac,7/31/2025,70.7,70,73.8,69.6,5.62M,1.29%
Brac,7/30/2025,69.8,67.7,70.2,67,5.00M,3.25%
Brac,7/29/2025,67.6,69.2,69.8,67.5,3.51M,-2.03%
Brac,7/28/2025,69,67.2,70,66.6,4.44M,2.68%
Brac,7/27/2025,67.2,69,70,66.9,2.82M,-2.33%
Brac,7/24/2025,68.8,65,71.3,65,4.47M,6.01%
Brac,7/23/2025,64.9,63.5,65.8,63.1,5.21M,2.85%
Brac,7/22/2025,63.1,63.7,63.7,61.9,2.41M,-0.94%
Brac,7/21/2025,63.7,64,65.4,63,3.81M,-0.16%
Brac,7/20/2025,63.8,63,64.6,61.6,3.25M,1.75%
Brac,7/17/2025,62.7,60,63.2,60,7.40M,4.67%
Brac,7/16/2025,59.9,57,60.2,56.2,3.80M,4.17%
Brac,7/15/2025,57.5,57.5,58,57.3,1.84M,0.17%
Brac,7/14/2025,57.4,57.6,58.1,56.8,2.48M,-0.35%
Brac,7/13/2025,57.6,59,59.2,57,1.61M,-1.87%
Brac,7/10/2025,58.7,56.4,59.3,56.4,3.65M,4.08%
Brac,7/9/2025,56.4,56,56.7,55.7,3.46M,0.71%
Brac,7/8/2025,56,56,56.4,55.2,2.54M,0.00%
Brac,7/7/2025,56,54,56.5,54,6.81M,4.09%
Brac,7/3/2025,53.8,51.2,54,51.2,4.72M,5.08%
Brac,7/2/2025,51.2,50.5,51.3,50.4,2.85M,0.99%
Brac,6/30/2025,50.7,50.6,51.3,49.9,3.10M,0.80%
Brac,6/29/2025,50.3,51.1,52.1,49.8,7.26M,-1.57%
Brac,6/26/2025,51.1,49.9,51.4,49.9,3.37M,2.40%
Brac,6/25/2025,49.9,49.6,50.1,49.6,3.38M,0.60%
Brac,6/24/2025,49.6,50.2,50.4,49.5,1.40M,-1.00%
Brac,6/23/2025,50.1,49.8,50.4,49.8,1.66M,0.00%
Brac,6/22/2025,50.1,50,50.5,49,1.70M,-0.20%
Brac,6/19/2025,50.2,49.2,50.7,49.2,2.34M,1.01%
Brac,6/18/2025,49.7,49.2,49.8,49,1.91M,0.20%
Brac,6/17/2025,49.6,50,50.2,49.2,1.53M,-0.80%
Brac,6/16/2025,50,50.4,50.5,49.8,3.98M,-0.40%
Brac,6/15/2025,50.2,48.7,50.5,48.7,3.05M,2.45%
Brac,6/4/2025,49,48.2,49.2,48.2,4.56M,1.45%
Brac,6/3/2025,48.3,47.2,48.5,47.2,3.77M,0.84%
Brac,6/2/2025,47.9,47,48.4,47,6.49M,1.91%
Brac,6/1/2025,47,46,47.2,45.8,1.26M,2.17%
Brac,5/29/2025,46,45.3,46.1,45.1,1.13M,0.22%
Brac,5/28/2025,45.9,45.8,46.1,45.2,1.53M,0.00%
Brac,5/27/2025,45.9,46.8,47.1,45.6,2.38M,-1.92%
Brac,5/26/2025,46.8,46.8,47.3,45.3,1.89M,1.45%
Brac,5/24/2025,46.13,46.93,46.93,45.96,1.94M,-1.70%
Brac,5/22/2025,46.93,47.82,47.91,46.49,990.98K,-1.68%
Brac,5/21/2025,47.73,47.11,47.91,47.11,3.92M,1.51%
Brac,5/20/2025,47.02,46.4,47.38,46.13,1.85M,-9.92%
Brac,5/19/2025,52.2,52.4,52.4,52.1,1.13M,-0.38%
Brac,5/18/2025,52.4,52.2,52.5,52.1,697.22K,0.77%
Brac,5/15/2025,52,51.7,52,51.7,1.17M,0.00%
Brac,5/14/2025,52,52,52.2,51.8,1.93M,0.00%
Brac,5/13/2025,52,52,52.3,51.7,2.17M,0.19%
Brac,5/12/2025,51.9,51.9,52.2,51.6,850.25K,0.00%
Brac,5/8/2025,51.9,50.9,52,50.9,717.89K,0.97%
Brac,5/7/2025,51.4,51.4,52.1,50.7,2.83M,-0.77%
Brac,5/6/2025,51.8,50.6,52,50.5,3.92M,2.37%
Brac,5/5/2025,50.6,50.2,50.8,49.9,719.41K,1.20%
Brac,5/4/2025,50,49.6,50.1,49.6,466.67K,0.81%
Brac,4/30/2025,49.6,48.7,50.2,48.1,1.07M,1.02%
Brac,4/29/2025,49.1,50.8,50.8,47.5,5.35M,-0.81%
Brac,4/28/2025,49.5,50.1,50.2,49.3,1.16M,-1.20%
Brac,4/27/2025,50.1,49.7,50.4,49.4,370.55K,1.01%
Brac,4/24/2025,49.6,50.2,50.4,49.5,2.14M,-1.00%
Brac,4/23/2025,50.1,50,50.4,49.7,1.11M,1.01%
Brac,4/22/2025,49.6,49.6,50,49.4,908.53K,0.61%
Brac,4/21/2025,49.3,49.7,50,49.2,308.10K,-0.80%
Brac,4/20/2025,49.7,50.2,50.3,49.4,287.91K,0.00%
Brac,4/17/2025,49.7,50.5,50.5,49.6,228.43K,-0.20%
Brac,4/16/2025,49.8,49.9,50,49.7,482.74K,-0.20%
Brac,4/15/2025,49.9,49.8,50,49.6,352.49K,0.81%
Brac,4/13/2025,49.5,49.9,49.9,49.4,304.20K,-1.20%
Brac,4/10/2025,50.1,49.9,50.2,49.7,281.66K,0.80%
Brac,4/9/2025,49.7,49,50,49,711.94K,1.43%
Brac,4/8/2025,49,50.3,50.3,48.8,781.75K,-2.00%
Brac,4/7/2025,50,50.2,50.8,49.9,1.08M,-1.19%
Brac,4/6/2025,50.6,50.3,50.8,50.3,389.54K,-0.59%
Brac,3/27/2025,50.9,50.6,51,50.6,106.73K,0.39%
Brac,3/25/2025,50.7,50.7,51.2,50.4,256.00K,0.00%
Brac,3/24/2025,50.7,51.4,51.7,50.4,316.62K,-0.20%
Brac,3/23/2025,50.8,51.9,51.9,50.5,617.76K,-1.36%
Brac,3/20/2025,51.5,51.7,52,51.3,470.22K,-0.58%
Brac,3/19/2025,51.8,52,52,51.7,576.26K,-0.38%
Brac,3/18/2025,52,52.1,52.3,51.8,835.37K,-0.38%
Brac,3/17/2025,52.2,52.1,52.4,52,390.07K,0.00%
Brac,3/16/2025,52.2,52.7,52.7,52,454.65K,-1.14%
Brac,3/13/2025,52.8,52.1,52.9,52.1,753.45K,1.34%
Brac,3/12/2025,52.1,51.9,52.5,51.9,553.33K,0.39%
Brac,3/11/2025,51.9,51.9,52.3,51.7,760.15K,-0.38%
Brac,3/10/2025,52.1,51.7,52.4,51.6,1.43M,0.39%
Brac,3/9/2025,51.9,52,52,51.6,515.27K,0.00%
Brac,3/6/2025,51.9,52,52.2,51.8,583.80K,-0.19%
Brac,3/5/2025,52,52.2,52.2,51.8,1.36M,0.00%
Brac,3/4/2025,52,52.5,52.8,51.9,1.63M,-1.14%
Brac,3/3/2025,52.6,52.4,52.7,52.4,568.16K,0.38%
Brac,3/2/2025,52.4,52.3,52.7,52.3,505.03K,0.19%
Brac,2/27/2025,52.3,52.2,52.7,52.2,782.79K,-0.19%
Brac,2/26/2025,52.4,53.9,53.9,52.3,1.53M,-1.87%
Brac,2/25/2025,53.4,53.8,54.1,53.1,2.00M,0.00%
Brac,2/24/2025,53.4,52.9,53.7,52.5,1.04M,1.52%
Brac,2/23/2025,52.6,52,52.8,51.8,923.08K,1.35%
Brac,2/20/2025,51.9,52.5,53,51.8,855.49K,-1.33%
Brac,2/19/2025,52.6,53.8,53.8,52.1,948.91K,-1.13%
Brac,2/18/2025,53.2,53.7,54.1,53,1.30M,-1.12%
Brac,2/17/2025,53.8,53.1,54.1,53.1,2.09M,1.32%
Brac,2/16/2025,53.1,52.4,53.2,51.9,2.57M,2.31%
Brac,2/13/2025,51.9,51.3,52.3,51.3,1.33M,0.58%
Brac,2/12/2025,51.6,51.7,51.9,51.1,462.01K,0.19%
Brac,2/11/2025,51.5,50.7,51.7,50.7,859.68K,0.98%
Brac,2/10/2025,51,51,51.2,50.9,720.19K,-0.20%
Brac,2/9/2025,51.1,51.2,51.3,50.9,816.18K,0.00%
Brac,2/6/2025,51.1,51.5,51.7,51,609.19K,0.00%
