"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","25.60","25.70","25.70","25.20","1.25M","0.00%"
"08/28/2025","25.60","25.70","25.70","25.20","1.98M","0.79%"
"08/27/2025","25.40","25.10","25.50","25.10","493.27K","0.00%"
"08/26/2025","25.40","25.50","25.60","25.30","1.39M","0.40%"
"08/25/2025","25.30","25.40","25.50","25.10","876.30K","0.40%"
"08/24/2025","25.20","25.20","25.60","25.10","344.34K","0.00%"
"08/21/2025","25.20","25.00","25.30","25.00","709.28K","0.40%"
"08/20/2025","25.10","25.40","25.40","24.90","1.37M","0.00%"
"08/19/2025","25.10","25.60","25.60","25.00","526.96K","-0.79%"
"08/18/2025","25.30","26.60","26.60","25.20","593.93K","-1.17%"
"08/17/2025","25.60","25.40","25.70","25.40","515.27K","1.19%"
"08/14/2025","25.30","25.40","25.50","25.10","411.50K","0.40%"
"08/13/2025","25.20","25.30","25.50","25.20","255.57K","-0.40%"
"08/12/2025","25.30","25.50","25.80","25.30","344.00K","-0.78%"
"08/11/2025","25.50","25.50","25.70","25.30","468.76K","0.00%"
"08/10/2025","25.50","25.60","26.00","25.20","872.88K","-0.39%"
"08/07/2025","25.60","26.00","26.00","25.50","1.44M","-1.16%"
"08/06/2025","25.90","26.40","26.80","25.50","1.37M","-2.26%"
"08/04/2025","26.50","26.80","26.90","26.20","2.21M","-1.49%"
"08/03/2025","26.90","26.90","27.40","26.80","4.06M","0.37%"
"07/31/2025","26.80","26.30","27.40","26.10","6.77M","2.29%"
"07/30/2025","26.20","26.10","26.30","25.90","3.26M","0.77%"
"07/29/2025","26.00","26.10","26.40","25.80","3.45M","0.39%"
"07/28/2025","25.90","25.90","26.00","25.80","2.50M","0.00%"
"07/27/2025","25.90","26.40","26.40","25.80","4.05M","-0.77%"
"07/24/2025","26.10","26.50","26.50","25.70","4.64M","-0.38%"
"07/23/2025","26.20","25.10","26.50","25.10","8.08M","4.38%"
"07/22/2025","25.10","24.80","25.20","24.80","4.94M","1.21%"
"07/21/2025","24.80","24.50","24.90","24.20","4.40M","1.22%"
"07/20/2025","24.50","24.50","24.60","24.40","1.66M","0.00%"
"07/17/2025","24.50","24.60","24.70","24.40","1.95M","0.41%"
"07/16/2025","24.40","24.10","24.50","24.10","997.50K","0.83%"
"07/15/2025","24.20","24.40","24.40","24.20","1.20M","-0.82%"
"07/14/2025","24.40","24.60","24.60","24.20","1.43M","-0.81%"
"07/13/2025","24.60","24.90","24.90","24.50","1.20M","-0.81%"
"07/10/2025","24.80","24.60","25.00","24.60","1.61M","0.81%"
"07/09/2025","24.60","24.20","24.70","24.00","1.70M","1.65%"
"07/08/2025","24.20","24.40","24.40","23.80","1.12M","-0.41%"
"07/07/2025","24.30","23.70","24.50","23.70","1.57M","2.53%"
"07/03/2025","23.70","23.00","23.80","23.00","1.20M","3.04%"
"07/02/2025","23.00","22.90","23.10","22.80","961.52K","0.44%"
"06/30/2025","22.90","22.90","23.00","22.80","1.43M","0.44%"
"06/29/2025","22.80","22.90","22.90","22.60","734.86K","0.00%"
"06/26/2025","22.80","22.80","22.90","22.70","657.16K","0.44%"
"06/25/2025","22.70","22.70","22.80","22.60","856.25K","0.44%"
"06/24/2025","22.60","22.70","22.70","22.50","1.47M","0.00%"
"06/23/2025","22.60","22.60","22.70","22.50","1.25M","0.00%"
"06/22/2025","22.60","22.60","22.80","22.50","1.47M","-0.44%"
"06/19/2025","22.70","22.80","22.90","22.70","1.08M","-0.44%"
"06/18/2025","22.80","22.80","22.90","22.60","829.59K","0.44%"
"06/17/2025","22.70","22.80","22.80","22.60","675.22K","0.00%"
"06/16/2025","22.70","22.50","22.70","22.50","864.32K","0.89%"
"06/15/2025","22.50","22.40","22.60","22.30","422.29K","0.45%"
"06/04/2025","22.40","22.30","22.50","22.30","756.79K","0.45%"
"06/03/2025","22.30","22.70","22.70","22.10","1.01M","-0.45%"
"06/02/2025","22.40","22.40","22.70","22.40","1.47M","-0.88%"
"06/01/2025","22.60","22.30","22.80","22.20","404.57K","1.35%"
"05/29/2025","22.30","22.10","22.40","21.60","420.57K","0.90%"
"05/28/2025","22.10","22.40","22.40","22.00","241.16K","-1.34%"
"05/27/2025","22.40","22.20","22.40","22.20","774.72K","0.45%"
"05/26/2025","22.30","22.20","22.40","22.10","467.83K","0.00%"
"05/25/2025","22.30","22.20","22.30","22.10","1.09M","0.45%"
"05/24/2025","22.20","22.20","22.30","22.10","599.47K","0.45%"
"05/22/2025","22.10","22.30","22.30","22.00","169.77K","0.91%"
"05/21/2025","21.90","22.30","22.50","21.90","1.67M","-1.79%"
"05/20/2025","22.30","22.10","22.30","22.00","398.57K","0.45%"
"05/19/2025","22.20","22.10","22.20","22.00","1.18M","-0.45%"
"05/18/2025","22.30","22.10","22.40","22.10","439.41K","1.36%"
"05/15/2025","22.00","22.00","22.10","21.70","992.78K","0.92%"
"05/14/2025","21.80","21.70","21.90","21.60","313.93K","0.93%"
"05/13/2025","21.60","21.20","21.90","21.10","624.59K","2.37%"
"05/12/2025","21.10","21.00","21.20","21.00","1.46M","0.48%"
"05/08/2025","21.00","20.80","21.00","20.80","1.21M","0.96%"
"05/07/2025","20.80","20.90","21.00","20.70","591.51K","-0.48%"
"05/06/2025","20.90","20.90","21.00","20.80","2.31M","0.00%"
"05/05/2025","20.90","21.00","21.00","20.80","2.07M","0.00%"
"05/04/2025","20.90","21.00","21.00","20.70","2.71M","0.00%"
"04/30/2025","20.90","21.00","21.20","20.70","1.44M","-0.95%"
"04/29/2025","21.10","21.40","21.40","21.00","620.49K","-0.94%"
"04/28/2025","21.30","21.50","21.60","21.30","687.49K","-0.93%"
"04/27/2025","21.50","21.40","21.60","21.30","1.12M","0.47%"
"04/24/2025","21.40","21.30","21.70","20.80","1.31M","-6.87%"
"04/22/2025","22.98","22.98","22.98","22.81","3.61M","0.00%"
"04/21/2025","22.98","22.98","22.98","22.89","1.97M","0.00%"
"04/20/2025","22.98","23.06","23.06","22.89","5.52M","-15.21%"
"04/17/2025","27.10","27.10","27.10","27.00","2.06M","0.00%"
"04/16/2025","27.10","27.10","27.10","27.00","2.66M","0.37%"
"04/15/2025","27.00","27.00","27.10","26.80","2.47M","0.00%"
"04/13/2025","27.00","26.90","27.10","26.90","695.64K","0.37%"
"04/10/2025","26.90","27.00","27.00","26.80","449.71K","0.00%"
"04/09/2025","26.90","27.10","27.10","26.80","985.45K","-0.74%"
"04/08/2025","27.10","27.20","27.30","27.00","908.93K","-0.37%"
"04/07/2025","27.20","27.20","27.30","27.00","1.37M","0.37%"
"04/06/2025","27.10","26.70","27.20","26.70","1.58M","1.12%"
"03/27/2025","26.80","26.50","26.90","26.40","2.25M","1.13%"
"03/25/2025","26.50","27.10","27.10","26.20","2.15M","1.92%"
"03/24/2025","26.00","26.00","26.00","25.90","1.64M","0.00%"
"03/23/2025","26.00","25.80","26.00","25.80","204.86K","0.00%"
"03/20/2025","26.00","25.90","26.00","25.80","683.67K","0.39%"
"03/19/2025","25.90","26.00","26.20","25.90","288.93K","-0.38%"
"03/18/2025","26.00","25.60","26.00","25.60","784.06K","1.56%"
"03/17/2025","25.60","25.60","25.80","25.40","384.81K","0.00%"
"03/16/2025","25.60","25.90","25.90","25.50","317.65K","-1.16%"
