"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","43.40","43.00","44.00","42.80","783.13K","0.93%"
"08/28/2025","43.00","41.40","43.40","41.00","716.59K","3.86%"
"08/27/2025","41.40","42.20","42.20","40.70","956.44K","-3.50%"
"08/26/2025","42.90","44.00","44.40","42.80","627.22K","-2.28%"
"08/25/2025","43.90","43.60","44.80","43.60","661.61K","1.62%"
"08/24/2025","43.20","44.00","44.00","43.00","435.03K","-0.46%"
"08/21/2025","43.40","44.80","44.80","43.10","493.22K","-2.25%"
"08/20/2025","44.40","45.00","45.30","44.10","490.99K","-1.11%"
"08/19/2025","44.90","45.50","45.60","44.70","637.94K","-0.88%"
"08/18/2025","45.30","46.00","46.30","45.10","475.19K","-1.09%"
"08/17/2025","45.80","45.10","46.00","45.00","609.94K","2.69%"
"08/14/2025","44.60","45.30","45.30","44.30","399.50K","0.00%"
"08/13/2025","44.60","45.40","45.70","44.40","606.23K","-1.76%"
"08/12/2025","45.40","45.90","46.60","45.20","635.41K","-0.44%"
"08/11/2025","45.60","46.60","46.60","45.30","537.45K","1.11%"
"08/10/2025","45.10","45.40","46.10","45.00","550.81K","-0.66%"
"08/07/2025","45.40","46.80","47.00","45.00","851.85K","-2.37%"
"08/06/2025","46.50","48.20","49.10","46.10","1.27M","-3.93%"
"08/04/2025","48.40","48.40","49.90","48.00","1.70M","0.00%"
"08/03/2025","48.40","46.00","48.90","46.00","2.12M","5.68%"
"07/31/2025","45.80","44.80","47.00","44.80","1.80M","3.39%"
"07/30/2025","44.30","44.90","45.00","44.20","356.06K","0.00%"
"07/29/2025","44.30","44.70","45.90","44.10","738.93K","-0.89%"
"07/28/2025","44.70","46.40","46.50","44.50","940.24K","-2.61%"
"07/27/2025","45.90","45.50","46.80","45.50","1.07M","1.10%"
"07/24/2025","45.40","45.00","46.50","44.70","1.24M","0.89%"
"07/23/2025","45.00","45.60","46.50","44.70","1.09M","-0.88%"
"07/22/2025","45.40","44.90","46.80","44.50","1.09M","0.22%"
"07/21/2025","45.30","43.70","47.30","43.40","1.78M","4.86%"
"07/20/2025","43.20","44.00","44.10","42.90","757.48K","-0.69%"
"07/17/2025","43.50","43.60","44.60","43.30","691.17K","0.00%"
"07/16/2025","43.50","43.50","44.40","42.90","1.00M","0.00%"
"07/15/2025","43.50","44.30","44.90","43.30","659.68K","-2.03%"
