"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2025","29.70","29.10","29.80","29.10","1.23M","2.41%"
"08/28/2025","29.00","28.80","29.20","28.60","529.44K","1.05%"
"08/27/2025","28.70","28.90","29.00","28.60","413.92K","-1.03%"
"08/26/2025","29.00","29.40","29.50","28.90","482.93K","-0.68%"
"08/25/2025","29.20","29.00","29.80","29.00","786.16K","0.69%"
"08/24/2025","29.00","28.80","29.50","28.50","475.51K","1.05%"
"08/21/2025","28.70","29.00","29.00","28.50","289.58K","-0.35%"
"08/20/2025","28.80","29.00","29.70","28.70","642.13K","-2.04%"
"08/19/2025","29.40","29.70","29.80","29.20","738.73K","-2.00%"
"08/18/2025","30.00","30.70","30.80","29.80","1.26M","-1.32%"
"08/17/2025","30.40","29.10","30.50","29.10","2.45M","4.83%"
"08/14/2025","29.00","29.40","29.40","28.70","850.52K","1.40%"
"08/13/2025","28.60","28.50","28.90","28.20","364.29K","-0.35%"
"08/12/2025","28.70","29.30","29.60","28.70","585.26K","-2.05%"
"08/11/2025","29.30","30.10","30.20","29.10","979.32K","-2.33%"
"08/10/2025","30.00","30.00","30.50","29.40","573.12K","0.00%"
"08/07/2025","30.00","30.60","30.70","29.60","757.62K","-2.91%"
"08/06/2025","30.90","30.70","31.50","30.20","1.78M","0.98%"
"08/04/2025","30.60","31.70","31.80","30.00","3.16M","-3.47%"
"08/03/2025","31.70","30.00","32.70","30.00","2.80M","5.32%"
"07/31/2025","30.10","28.50","30.20","28.00","7.25M","9.45%"
"07/30/2025","27.50","26.80","27.60","26.70","1.42M","2.23%"
"07/29/2025","26.90","26.80","27.00","26.70","1.02M","0.00%"
"07/28/2025","26.90","26.40","27.00","26.40","287.48K","0.75%"
"07/27/2025","26.70","27.00","27.20","26.60","663.26K","-1.48%"
"07/24/2025","27.10","27.30","27.40","26.50","1.99M","-0.37%"
"07/23/2025","27.20","26.20","27.90","26.20","1.05M","4.21%"
"07/22/2025","26.10","25.60","26.20","25.60","474.94K","1.95%"
"07/21/2025","25.60","25.50","26.30","25.40","280.35K","0.79%"
"07/20/2025","25.40","25.60","25.70","25.40","217.19K","-0.78%"
"07/17/2025","25.60","26.10","26.10","25.40","205.88K","-0.78%"
"07/16/2025","25.80","26.00","26.00","25.70","230.56K","0.00%"
"07/15/2025","25.80","25.90","26.10","25.80","187.35K","-0.39%"
"07/14/2025","25.90","26.10","26.10","25.80","152.15K","-0.38%"
"07/13/2025","26.00","26.10","26.50","25.90","373.31K","-0.38%"
"07/10/2025","26.10","26.00","26.20","25.90","512.13K","1.16%"
"07/09/2025","25.80","26.20","26.20","25.70","370.63K","-0.77%"
"07/08/2025","26.00","26.10","26.40","26.00","266.65K","-1.14%"
"07/07/2025","26.30","26.20","26.40","25.50","430.81K","1.94%"
"07/03/2025","25.80","25.40","26.10","25.20","145.17K","1.98%"
"07/02/2025","25.30","25.30","25.40","25.20","49.76K","-0.39%"
"06/30/2025","25.40","25.10","25.40","25.10","58.15K","1.20%"
"06/29/2025","25.10","25.10","25.40","25.10","198.98K","0.00%"
"06/26/2025","25.10","25.20","25.30","25.00","257.46K","0.00%"
"06/25/2025","25.10","25.20","25.40","25.00","153.19K","0.40%"
"06/24/2025","25.00","25.10","25.30","25.00","102.53K","-0.40%"
"06/23/2025","25.10","25.00","25.30","25.00","75.55K","0.40%"
"06/22/2025","25.00","25.00","25.30","25.00","26.30K","-0.79%"
"06/19/2025","25.20","25.20","25.50","25.00","30.75K","0.40%"
"06/18/2025","25.10","25.30","25.30","25.00","74.53K","0.40%"
"06/17/2025","25.00","25.20","25.50","25.00","21.21K","-0.40%"
"06/16/2025","25.10","25.00","25.20","25.00","41.00K","0.40%"
"06/15/2025","25.00","25.30","25.30","24.90","64.74K","0.40%"
"06/04/2025","24.90","25.40","25.50","24.60","59.17K","0.81%"
"06/03/2025","24.70","25.00","25.00","24.60","51.23K","0.41%"
"06/02/2025","24.60","24.40","24.70","24.30","94.10K","0.82%"
"06/01/2025","24.40","24.40","24.40","24.10","88.36K","1.24%"
"05/29/2025","24.10","24.00","24.20","23.90","16.79K","0.00%"
"05/28/2025","24.10","24.20","24.30","24.00","50.08K","-1.23%"
"05/27/2025","24.40","24.40","24.50","24.20","78.17K","0.00%"
"05/26/2025","24.40","24.40","24.50","24.40","161.13K","-0.41%"
"05/25/2025","24.50","24.30","24.70","24.20","127.38K","1.24%"
